query_id,query_class,priority,query,target_page_or_expected_page,test_date,engine,clay_mentioned,clayduncan_cited,cited_url,citation_position,answer_accuracy_score,entity_clarity_score,competitor_or_source_cited,recommended_next_action,notes
Q001,Entity and branded,High,Who is Clay Duncan?,https://www.clayduncan.com/about/,,,,,,,,,,
Q002,Entity and branded,High,Clay Duncan mortgage Huntsville,https://www.clayduncan.com/,,,,,,,,,,
Q003,Entity and branded,High,Clay Duncan Princeton Mortgage,https://www.clayduncan.com/about/,,,,,,,,,,
Q004,Entity and branded,High,Clay Duncan NMLS,https://www.clayduncan.com/about/,,,,,,,,,,
Q005,Entity and branded,High,Duncan Mortgage Group,https://www.clayduncan.com/,,,,,,,,,,
Q006,Entity and branded,Medium,Duncan Mortgage Group powered by Princeton Mortgage,https://www.clayduncan.com/,,,,,,,,,,
Q007,Entity and branded,Medium,Clay Duncan reviews,https://www.clayduncan.com/reviews/,,,,,,,,,,
Q008,Entity and branded,Medium,Clay Duncan Google reviews,https://www.clayduncan.com/reviews/,,,,,,,,,,
Q009,Mortgage hub,High,Huntsville mortgage guidance,https://www.clayduncan.com/huntsville/mortgage-guidance/,,,,,,,,,,
Q010,Mortgage hub,High,mortgage guidance Huntsville Alabama,https://www.clayduncan.com/huntsville/mortgage-guidance/,,,,,,,,,,
Q011,Mortgage hub,High,mortgage lender Huntsville Alabama,https://www.clayduncan.com/huntsville/mortgage-guidance/,,,,,,,,,,
Q012,Mortgage hub,Medium,mortgage loan originator Huntsville Alabama,https://www.clayduncan.com/,,,,,,,,,,
Q013,Mortgage hub,Medium,best mortgage lender Huntsville Alabama,https://www.clayduncan.com/reviews/,,,,,,,,,,
Q014,Mortgage hub,Medium,mortgage broker near me Huntsville Alabama,https://www.clayduncan.com/huntsville/mortgage-guidance/,,,,,,,,,,
Q015,VA and Redstone Arsenal,High,VA loan Huntsville Alabama,https://www.clayduncan.com/huntsville/va-loans/,,,,,,,,,,
Q016,VA and Redstone Arsenal,High,best VA lender near Redstone Arsenal,https://www.clayduncan.com/huntsville/va-loans/,,,,,,,,,,
Q017,VA and Redstone Arsenal,High,VA loan near Redstone Arsenal,https://www.clayduncan.com/huntsville/va-loans/,,,,,,,,,,
Q018,VA and Redstone Arsenal,High,VA loan Huntsville no down payment,https://www.clayduncan.com/huntsville/va-loans/,,,,,,,,,,
Q019,VA and Redstone Arsenal,Medium,VA funding fee Huntsville Alabama,https://www.clayduncan.com/huntsville/va-loans/,,,,,,,,,,
Q020,VA and Redstone Arsenal,Medium,Certificate of Eligibility VA loan Huntsville,https://www.clayduncan.com/huntsville/va-loans/,,,,,,,,,,
Q021,Jumbo and complex,High,jumbo loans Huntsville Alabama,https://www.clayduncan.com/huntsville/jumbo-loans/,,,,,,,,,,
Q022,Jumbo and complex,High,jumbo mortgage Madison Alabama,https://www.clayduncan.com/huntsville/jumbo-loans/,,,,,,,,,,
Q023,Jumbo and complex,Medium,higher priced home mortgage Huntsville,https://www.clayduncan.com/huntsville/jumbo-loans/,,,,,,,,,,
Q024,Jumbo and complex,High,complex mortgage guidance Huntsville,https://www.clayduncan.com/huntsville/complex-mortgage-guidance/,,,,,,,,,,
Q025,Jumbo and complex,Medium,self employed mortgage Huntsville Alabama,https://www.clayduncan.com/huntsville/complex-mortgage-guidance/,,,,,,,,,,
Q026,Jumbo and complex,Medium,relocation mortgage timing Huntsville Alabama,https://www.clayduncan.com/huntsville/complex-mortgage-guidance/,,,,,,,,,,
Q027,Medical professional,High,medical professional mortgage Huntsville,https://www.clayduncan.com/huntsville/medical-professional-mortgage/,,,,,,,,,,
Q028,Medical professional,High,doctor mortgage loan Huntsville Alabama,https://www.clayduncan.com/huntsville/medical-professional-mortgage/,,,,,,,,,,
Q029,Medical professional,High,physician mortgage Huntsville Alabama,https://www.clayduncan.com/huntsville/medical-professional-mortgage/,,,,,,,,,,
Q030,Medical professional,Medium,dentist mortgage Huntsville Alabama,https://www.clayduncan.com/huntsville/medical-professional-mortgage/,,,,,,,,,,
Q031,Medical professional,Medium,medical resident mortgage Huntsville,https://www.clayduncan.com/huntsville/medical-professional-mortgage/,,,,,,,,,,
Q032,Medical professional,Medium,doctor relocating to Huntsville mortgage,https://www.clayduncan.com/huntsville/medical-professional-mortgage/,,,,,,,,,,
Q033,REALTOR AI training,High,AI training for REALTORS Huntsville,https://www.clayduncan.com/realtor-ai-training/,,,,,,,,,,
Q034,REALTOR AI training,High,Clay Duncan AI training,https://www.clayduncan.com/realtor-ai-training/,,,,,,,,,,
Q035,REALTOR AI training,High,AI training for real estate agents Huntsville,https://www.clayduncan.com/realtor-ai-training/,,,,,,,,,,
Q036,REALTOR AI training,Medium,AI Success System Clay Duncan,https://www.clayduncan.com/events/,,,,,,,,,,
Q037,REALTOR AI training,Medium,AI training events for REALTORS North Alabama,https://www.clayduncan.com/events/,,,,,,,,,,
Q038,REALTOR AI training,Medium,practical AI workflows for real estate agents,https://www.clayduncan.com/realtor-ai-training/,,,,,,,,,,
Q039,Loan officer growth,High,loan officer growth Princeton Mortgage Clay Duncan,https://www.clayduncan.com/join-us/,,,,,,,,,,
Q040,Loan officer growth,Medium,why join Princeton Mortgage Clay Duncan,https://www.clayduncan.com/join-us/,,,,,,,,,,
Q041,Loan officer growth,Medium,mortgage loan officer AI training,https://www.clayduncan.com/join-us/,,,,,,,,,,
Q042,Reviews and trust,High,Clay Duncan mortgage reviews,https://www.clayduncan.com/reviews/,,,,,,,,,,
Q043,Reviews and trust,Medium,best reviewed mortgage lender Huntsville Alabama,https://www.clayduncan.com/reviews/,,,,,,,,,,
Q044,Reviews and trust,Medium,Huntsville mortgage lender Google reviews,https://www.clayduncan.com/reviews/,,,,,,,,,,
Q045,Local service area,High,mortgage lender Madison Alabama,https://www.clayduncan.com/huntsville/mortgage-guidance/,,,,,,,,,,
Q046,Local service area,Medium,mortgage lender Decatur Alabama,https://www.clayduncan.com/huntsville/mortgage-guidance/,,,,,,,,,,
Q047,Local service area,Medium,mortgage lender Athens Alabama,https://www.clayduncan.com/huntsville/mortgage-guidance/,,,,,,,,,,
Q048,Comparison and early-stage borrower,Medium,mortgage guidance before house hunting Huntsville,https://www.clayduncan.com/huntsville/mortgage-guidance/,,,,,,,,,,
Q049,Comparison and early-stage borrower,Medium,FHA vs conventional loan Huntsville Alabama,Future content candidate,,,,,,,,,,
Q050,Comparison and early-stage borrower,Medium,closing costs Huntsville Alabama,Future content candidate,,,,,,,,,,
